Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
-0.1408,-0.0497,0.2904,0.1287,-1.1201,-0.0932,-0.3604,0.5363,0.4809,0.5926,38.9771,7.1686,31.9351
-0.1439,-0.0941,0.2566,0.1277,-1.1179,-0.089,-0.359,0.5346,0.4817,0.5944,40.3748,6.4697,31.9351
-0.1618,-0.0945,0.2315,0.1266,-1.1201,-0.0847,-0.3577,0.5329,0.4825,0.596,40.3748,6.4697,31.9351
-0.1976,-0.1124,0.2397,0.1234,-1.1211,-0.0826,-0.3562,0.5312,0.4833,0.5978,40.3748,6.4697,31.9351
-0.2062,-0.121,0.2486,0.1234,-1.1169,-0.0804,-0.3548,0.5295,0.484,0.5995,40.3748,6.4697,31.9351
-0.2204,-0.124,0.2705,0.1181,-1.1126,-0.0794,-0.3534,0.5279,0.4848,0.6012,42.4698,7.1686,31.2546
-0.2128,-0.1577,0.2385,0.1138,-1.1115,-0.0826,-0.3521,0.5261,0.4856,0.6028,42.4698,7.1686,31.2546
-0.2124,-0.13,0.2109,0.1106,-1.1062,-0.0826,-0.3507,0.5244,0.4863,0.6045,42.4698,7.1686,31.2546
-0.2116,-0.135,0.2398,0.1032,-1.1019,-0.0836,-0.3493,0.5228,0.4871,0.6062,42.4698,7.1686,31.2546
-0.1929,-0.1258,0.2416,0.0989,-1.0977,-0.0836,-0.3479,0.5211,0.4878,0.6079,42.4698,6.4697,30.5756
-0.1834,-0.1283,0.1989,0.0936,-1.0924,-0.0857,-0.3467,0.5193,0.4887,0.6093,42.4698,6.4697,30.5756
-0.1537,-0.1138,0.2292,0.0861,-1.0902,-0.0868,-0.3454,0.5176,0.4894,0.611,42.4698,6.4697,30.5756
-0.1834,-0.1176,0.1989,0.0808,-1.086,-0.0847,-0.344,0.5159,0.4902,0.6126,42.4698,6.4697,30.5756
